"id","sender","sender_id","condition","response","response_action","eveTopleft","eveTopright","eveDownleft","eveDownright","order_one_contents","order_two_contents","order_three_contents","order_four_contents","compare1","compare2","part","order_one_contents_options","order_two_contents_options","order_three_contents_options","order_four_contents_options"
"6yw7tevon7","Welcome","0","B","Continue","keypress(Enter)",NA,NA,NA,NA,"","","","",NA,NA,NA,"","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_0_0_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","E","H","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_0_1_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","E","H","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_1_0_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","G","E","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_1_1_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","G","E","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_2_0_0","B","compare2","keypress(l,L)",NA,NA,NA,NA,"","","","","H","F","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_2_1_0","B","compare2","keypress(l,L)",NA,NA,NA,NA,"","","","","H","F","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_3_0_0","B","compare2","keypress(l,L)",NA,NA,NA,NA,"","","","","F","G","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_3_1_0","B","compare2","keypress(l,L)",NA,NA,NA,NA,"","","","","F","G","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_4_0_0","B","compare2","keypress(l,L)",NA,NA,NA,NA,"","","","","H","G","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_4_1_0","B","compare2","keypress(l,L)",NA,NA,NA,NA,"","","","","H","G","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_5_0_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","E","F","veggie","","","",""
"6yw7tevon7","show_choice","6_1_0_3_0_5_1_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","E","F","veggie","","","",""
"6yw7tevon7","Ranking_Screen","6_1_0_3_1_0_0","B","","keypress(Enter)","H","E","F","G","eveDownright","eveTopright","eveDownleft","eveTopleft",NA,NA,"veggie","G","E","F","H"
"6yw7tevon7","Ranking_Screen","6_1_3_3_0_0_0","B","","keypress(Enter)","A","B","C","D","eveDownright","eveTopright","eveTopleft","eveDownleft",NA,NA,"fruit","D","B","A","C"
"6yw7tevon7","show_choice","6_1_3_3_1_0_0_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","A","C","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_0_1_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","A","C","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_1_0_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","A","B","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_1_1_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","A","B","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_2_0_0","B","compare2","keypress(l,L)",NA,NA,NA,NA,"","","","","C","D","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_2_1_0","B","compare2","keypress(l,L)",NA,NA,NA,NA,"","","","","C","D","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_3_0_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","B","C","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_3_1_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","B","C","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_4_0_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","D","A","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_4_1_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","D","A","fruit","","","",""
"6yw7tevon7","show_choice","6_1_3_3_1_5_0_0","B","compare1","keypress(s,S)",NA,NA,NA,NA,"","","","","D","B","fruit","","","",""
