"id","condition","sender","sender_id","counter_learning_veggie","counter_learning_fruit","response","button1","button2","response_action","feedback_fruit","feedback_veggie","button_not_chosen","button_chosen","drawn_fruit","drawn_veggie"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_0",1,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_1",2,NA,"button2","raddish.svg","broccoli.svg","keypress(l,L)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_2",3,NA,"button1","tomato.svg","carrot.svg","keypress(s,S)",NA,FALSE,"carrot.svg","tomato.svg",NA,"carrot.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_3",4,NA,"button2","tomato.svg","carrot.svg","keypress(l,L)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_4",5,NA,"button1","carrot.svg","tomato.svg","keypress(s,S)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_5",6,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_6",7,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_7",8,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_8",9,NA,"button2","raddish.svg","broccoli.svg","keypress(l,L)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_9",10,NA,"button2","raddish.svg","broccoli.svg","keypress(l,L)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_10",11,NA,"button2","tomato.svg","carrot.svg","keypress(l,L)",NA,FALSE,"tomato.svg","carrot.svg",NA,"tomato.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_11",12,NA,"button2","tomato.svg","carrot.svg","keypress(l,L)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_12",13,NA,"button1","carrot.svg","tomato.svg","keypress(s,S)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_13",14,NA,"button1","carrot.svg","tomato.svg","keypress(s,S)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_14",15,NA,"button1","carrot.svg","tomato.svg","keypress(s,S)",NA,TRUE,"tomato.svg","carrot.svg",NA,"carrot.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_5_15",16,NA,"button1","raddish.svg","broccoli.svg","keypress(s,S)",NA,FALSE,"broccoli.svg","raddish.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Loop_EFGH1",NA,NA,NA,"Continue",NA,NA,"keypress(Enter)",NA,NA,NA,NA,NA,NA
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_7_0",17,NA,"button1","broccoli.svg","raddish.svg","keypress(s,S)",NA,TRUE,"raddish.svg","broccoli.svg",NA,"broccoli.svg"
"6yw7tevon7","B","Sequence_risky_choice_EFGH","6_1_0_0_7_1",18,NA,"button1","carrot.svg","tomato.svg","keypress(s,S)",NA,FALSE,"tomato.svg","carrot.svg",NA,"tomato.svg"
